10726,JNL170423,15/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,97.0400,LITRE,1.7400,(168.85),(16.89),(185.74)
10726,JNL170423,16/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,109.5500,LITRE,1.7400,(190.62),(19.06),(209.68)
10726,JNL170423,17/03/23,Starcard,AMPOL WOOLWORTHS METROGO SEVEN HILL,,129.5800,LITRE,1.7400,(225.47),(22.55),(248.02)
10726,JNL170423,18/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,164.2600,LITRE,1.7400,(285.81),(28.58),(314.39)
10726,JNL170423,20/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,108.3500,LITRE,1.7400,(188.53),(18.85),(207.38)
10726,JNL170423,21/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,83.2400,LITRE,1.7400,(144.84),(14.48),(159.32)
10726,JNL170423,22/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,101.3100,LITRE,1.7400,(176.28),(17.63),(193.91)
10726,JNL170423,23/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,119.7600,LITRE,1.7400,(208.38),(20.84),(229.22)
10726,JNL170423,23/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,33.2353,LITRE,1.7000,(56.50),(5.65),(62.15)
10726,JNL170423,24/03/23,Starcard,AMPOL FOODARY EASTERN CREEK WESTBOU,,38.3700,LITRE,1.7000,(65.23),(6.52),(71.75)
10726,JNL170423,24/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,122.1600,LITRE,1.7400,(212.56),(21.26),(233.82)
10726,JNL170423,25/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,129.1500,LITRE,1.7400,(224.72),(22.47),(247.19)
10726,JNL170423,28/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,133.8200,LITRE,1.7400,(232.85),(23.29),(256.14)
10726,JNL170423,30/03/23,Starcard,AMPOL WOOLWORTHS METROGO CHATSWOOD,,92.7100,LITRE,1.7400,(161.32),(16.13),(177.45)
10726,JNL170423,31/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,91.3400,LITRE,1.7400,(158.93),(15.89),(174.82)
10726,1,0,7,2,6
10727,JNL170423,01/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,101.2500,LITRE,1.7400,(176.18),(17.62),(193.80)
10727,JNL170423,02/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,133.7500,LITRE,1.7400,(232.73),(23.27),(256.00)
10727,JNL170423,04/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,158.0500,LITRE,1.7400,(275.01),(27.50),(302.51)
10727,JNL170423,07/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,174.2800,LITRE,1.7400,(303.25),(30.33),(333.58)
10727,JNL170423,08/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,157.8600,LITRE,1.7400,(274.68),(27.47),(302.15)
10727,JNL170423,08/03/23,Starcard,AMPOL WOOLWORTHS METROGO NEUTRAL BA,,21.7800,LITRE,1.7400,(37.90),(3.79),(41.69)
10727,JNL170423,08/03/23,Starcard,AMPOL WOOLWORTHS METROGO NEUTRAL BA,,66.4118,LITRE,1.7000,(112.90),(11.29),(124.19)
10727,JNL170423,10/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,178.5600,LITRE,1.7400,(310.69),(31.07),(341.76)
10727,JNL170423,13/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,185.5000,LITRE,1.7400,(322.77),(32.28),(355.05)
10727,JNL170423,15/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,135.9000,LITRE,1.7400,(236.47),(23.65),(260.12)
10727,JNL170423,16/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,107.5500,LITRE,1.7400,(187.14),(18.71),(205.85)
10727,JNL170423,17/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,96.4200,LITRE,1.7400,(167.77),(16.78),(184.55)
10727,JNL170423,20/03/23,Starcard,AMPOL WOOLWORTHS METROGO NEUTRAL BA,,33.2353,LITRE,1.7000,(56.50),(5.65),(62.15)
10727,JNL170423,20/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,160.8800,LITRE,1.7400,(279.93),(27.99),(307.92)
10727,JNL170423,22/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,98.8900,LITRE,1.7400,(172.07),(17.21),(189.28)
10727,JNL170423,23/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,92.9500,LITRE,1.7400,(161.73),(16.17),(177.90)
10727,JNL170423,24/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,120.1200,LITRE,1.7400,(209.01),(20.90),(229.91)
10727,JNL170423,27/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,133.2800,LITRE,1.7400,(231.91),(23.19),(255.10)
10727,JNL170423,29/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,129.6700,LITRE,1.7400,(225.63),(22.56),(248.19)
10727,JNL170423,31/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,124.4500,LITRE,1.7400,(216.54),(21.65),(238.19)
10727,1,0,7,2,7
10728,JNL170423,28/02/23,Starcard,AMPOL PARKLEA,,140.0000,LITRE,1.7400,(243.60),(24.36),(267.96)
10728,JNL170423,02/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,147.1200,LITRE,1.7400,(255.99),(25.60),(281.59)
10728,JNL170423,03/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,139.6300,LITRE,1.7400,(242.96),(24.30),(267.26)
10728,JNL170423,06/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,152.9700,LITRE,1.7400,(266.17),(26.62),(292.79)
10728,JNL170423,07/03/23,Starcard,AMPOL WOOLWORTHS METRO SEVEN HILLS,,54.8300,LITRE,1.7400,(95.40),(9.54),(104.94)
10728,JNL170423,07/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,107.8000,LITRE,1.7400,(187.57),(18.76),(206.33)
10728,JNL170423,08/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,135.4900,LITRE,1.7400,(235.75),(23.58),(259.33)
10728,JNL170423,09/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,76.6400,LITRE,1.7400,(133.35),(13.34),(146.69)
10728,JNL170423,11/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,166.3900,LITRE,1.7400,(289.52),(28.95),(318.47)
10728,JNL170423,14/03/23,Starcard,AMPOL WOOLWORTHS METROGO LANE COVE,,130.7600,LITRE,1.7400,(227.52),(22.75),(250.27)
10728,JNL170423,16/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,172.4500,LITRE,1.7400,(300.06),(30.01),(330.07)
10728,JNL170423,17/03/23,Starcard,AMPOL WOOLWORTHS METROGO CHATSWOOD,,173.5500,LITRE,1.7400,(301.98),(30.20),(332.18)
10728,JNL170423,17/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,127.9700,LITRE,1.7400,(222.67),(22.27),(244.94)
10728,JNL170423,18/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,150.9900,LITRE,1.7400,(262.72),(26.27),(288.99)
10728,JNL170423,20/03/23,Starcard,AMPOL WOOLWORTHS METROGO NEUTRAL BA,,120.6800,LITRE,1.7400,(209.98),(21.00),(230.98)
10728,JNL170423,22/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,145.1000,LITRE,1.7400,(252.47),(25.25),(277.72)
10728,JNL170423,23/03/23,Starcard,AMPOL WOOLWORTHS METROGO NEUTRAL BA,,33.2353,LITRE,1.7000,(56.50),(5.65),(62.15)
10728,JNL170423,23/03/23,Starcard,AMPOL WOOLWORTHS METROGO NEUTRAL BA,,203.0900,LITRE,1.7400,(353.38),(35.34),(388.72)
10728,JNL170423,25/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,169.1100,LITRE,1.7400,(294.25),(29.43),(323.68)
10728,JNL170423,27/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,39.4300,LITRE,1.7400,(68.61),(6.86),(75.47)
10728,JNL170423,27/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,33.2353,LITRE,1.7000,(56.50),(5.65),(62.15)
10728,JNL170423,29/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,192.5900,LITRE,1.7400,(335.11),(33.51),(368.62)
10728,JNL170423,29/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,33.2353,LITRE,1.7000,(56.50),(5.65),(62.15)
10728,JNL170423,30/03/23,Starcard,AMPOL WOOLWORTHS METRO NORTH RYDE,,102.1400,LITRE,1.7400,(177.72),(17.77),(195.49)
10728,1,0,7,2,8
10784,JNL170423,01/03/23,Starcard,AMPOL FOODARY HOMEBUSH,,145.3300,LITRE,1.7400,(252.87),(25.29),(278.16)
10784,JNL170423,03/03/23,Starcard,EG AMPOL 91803 SILVERWATER,,171.0900,LITRE,1.7400,(297.70),(29.77),(327.47)
